model_name,fedvim_near_auroc,fedvim_far_auroc,act_near_auroc,act_far_auroc,msp_near_auroc,msp_far_auroc,foster_near_auroc,foster_far_auroc,fedln_near_auroc,fedln_far_auroc
mobilenetv3_large,0.9657322011956393,0.9694763920380641,0.9617968616037081,0.9697118172655915,0.9049218453317723,0.8877354504502317,0.8706604430814423,0.7985873047905018,0.9200692219366341,0.881444718154907
resnet50,0.9600226595121023,0.9585424245589906,0.9643572787398296,0.9590546702169847,0.8730822682135704,0.7831718371013257,0.8943666334195485,0.79537005643233,0.9088753646035798,0.8310625407396623
resnet101,0.9700582916846592,0.9627405414408634,0.9718883794588471,0.9644493122432765,0.8214201068157192,0.7969107591147013,0.8827857284575282,0.8032845115672722,0.9071464994914178,0.8351113192325529
densenet169,0.8486137657433784,0.8597724314701117,0.9630151245958948,0.9717074376451291,0.8326780419093242,0.7938637065740197,0.8311984179638578,0.7722208480426651,0.9328016188443828,0.9052388386336075
efficientnet_v2_s,0.961803594818477,0.9690893109294982,0.957236904121715,0.9650226717650692,0.8763839000755018,0.8648078921952241,0.7634065039263619,0.7204628994594631,0.9372123233989986,0.9161539365329627
