model_type,evaluation_score,id_accuracy,near_auroc,near_aupr,near_fpr95,far_auroc,far_aupr,far_fpr95,checkpoint,source_file
densenet169,msp,0.94385845525689,0.8311984179638578,0.7440596363422394,0.625723035045934,0.7722208480426651,0.9502647774623494,0.7243960530792787,/home/dell7960/桌面/FedOOD/experiments/foster_manifest_final_v1/densenet169/experiment_20260411_225015/best_model.pth,/home/dell7960/桌面/FedOOD/experiments/foster_manifest_final_v1/densenet169/experiment_20260411_225015/foster_results.json
efficientnet_v2_s,msp,0.9435182034705683,0.7634065039263619,0.6523686891794346,0.7917659067710106,0.7204628994594631,0.9346343171509384,0.8363388907791766,/home/dell7960/桌面/FedOOD/experiments/foster_manifest_final_v1/efficientnet_v2_s/experiment_20260412_065956/best_model.pth,/home/dell7960/桌面/FedOOD/experiments/foster_manifest_final_v1/efficientnet_v2_s/experiment_20260412_065956/foster_results.json
mobilenetv3_large,msp,0.9241238516502212,0.8706604430814423,0.7726327473309531,0.46920721333787,0.7985873047905018,0.9551472923687766,0.7570602245661789,/home/dell7960/桌面/FedOOD/experiments/foster_manifest_final_v1/mobilenetv3_large/experiment_20260412_014037/best_model.pth,/home/dell7960/桌面/FedOOD/experiments/foster_manifest_final_v1/mobilenetv3_large/experiment_20260412_014037/foster_results.json
resnet101,msp,0.9462402177611432,0.8827857284575282,0.7960741656548419,0.4630826811840762,0.8032845115672722,0.9541020368807824,0.5974821367812181,/home/dell7960/桌面/FedOOD/experiments/foster_manifest_final_v1/resnet101/experiment_20260411_225015/best_model.pth,/home/dell7960/桌面/FedOOD/experiments/foster_manifest_final_v1/resnet101/experiment_20260411_225015/foster_results.json
resnet50,msp,0.9346716570261994,0.8943666334195485,0.8077233345691754,0.3991153453555631,0.79537005643233,0.9545995814248842,0.745831915617557,/home/dell7960/桌面/FedOOD/experiments/foster_manifest_final_v1/resnet50/experiment_20260412_022431/best_model.pth,/home/dell7960/桌面/FedOOD/experiments/foster_manifest_final_v1/resnet50/experiment_20260412_022431/foster_results.json
