model_type,evaluation_score,id_accuracy,near_auroc,near_aupr,near_fpr95,far_auroc,far_aupr,far_fpr95,checkpoint,source_file
densenet169,msp,0.9472609731201089,0.9328016188443828,0.8466778911147526,0.24191902007485538,0.9052388386336075,0.9766915501541835,0.35522286492004085,/home/dell7960/桌面/FedOOD/experiments/fedln_manifest_final_v1/densenet169/experiment_20260412_011359/best_model.pth,/home/dell7960/桌面/FedOOD/experiments/fedln_manifest_final_v1/densenet169/experiment_20260412_011359/fedln_results.json
efficientnet_v2_s,msp,0.9520244981286152,0.9372123233989986,0.8819290313326986,0.32051718271520924,0.9161539365329627,0.9804467841737292,0.35998638992854715,/home/dell7960/桌面/FedOOD/experiments/fedln_manifest_final_v1/efficientnet_v2_s/experiment_20260412_041553/best_model.pth,/home/dell7960/桌面/FedOOD/experiments/fedln_manifest_final_v1/efficientnet_v2_s/experiment_20260412_041553/fedln_results.json
mobilenetv3_large,msp,0.9510037427696495,0.9200692219366341,0.8507352251747614,0.3678121810139503,0.881444718154907,0.9711632180534386,0.42939775433821026,/home/dell7960/桌面/FedOOD/experiments/fedln_manifest_final_v1/mobilenetv3_large/experiment_20260411_225013/best_model.pth,/home/dell7960/桌面/FedOOD/experiments/fedln_manifest_final_v1/mobilenetv3_large/experiment_20260411_225013/fedln_results.json
resnet101,msp,0.9424974481116026,0.9071464994914178,0.8127285917287954,0.3729159578087785,0.8351113192325529,0.9630546791434034,0.6481796529431779,/home/dell7960/桌面/FedOOD/experiments/fedln_manifest_final_v1/resnet101/experiment_20260411_225013/best_model.pth,/home/dell7960/桌面/FedOOD/experiments/fedln_manifest_final_v1/resnet101/experiment_20260411_225013/fedln_results.json
resnet50,msp,0.9547465124191902,0.9088753646035798,0.8267065087259274,0.3542021095610752,0.8310625407396623,0.9625203423494263,0.6808438244300783,/home/dell7960/桌面/FedOOD/experiments/fedln_manifest_final_v1/resnet50/experiment_20260412_004716/best_model.pth,/home/dell7960/桌面/FedOOD/experiments/fedln_manifest_final_v1/resnet50/experiment_20260412_004716/fedln_results.json
