model_name,feature_dim,id_accuracy,fedvim_fixed_k,act_k,act_compression_rate,fedvim_near_auroc,act_near_auroc,act_minus_fedvim_near,msp_near_auroc,energy_near_auroc,fedvim_far_auroc,act_far_auroc,act_minus_fedvim_far,msp_far_auroc,energy_far_auroc
densenet169,1664,0.9649540660088466,1000,75,0.925,0.8204734168192113,0.9672595187457188,0.14678610192650754,0.8860365245479545,0.7711000995618025,0.8600217017148383,0.9723510211719082,0.11232931945706992,0.7922189265220962,0.6615133335007521
efficientnet_v2_s,1280,0.9703980945899966,512,63,0.876953125,0.9639582235445256,0.9645478287177894,0.0005896051732637853,0.8783294624829762,0.8136475081269903,0.975154826949372,0.9732415974081169,-0.001913229541255057,0.8962363909024931,0.8523850759185425
mobilenetv3_large,960,0.9513439945559714,512,93,0.818359375,0.9569682488524358,0.9610820186357429,0.004113769783307131,0.9305073881321254,0.8722648559406256,0.9704191917590621,0.9739090151419936,0.0034898233829314673,0.9256294523192892,0.8941751615237022
resnet101,2048,0.9622320517182715,1000,140,0.86,0.9650317224191812,0.9673746567182672,0.0023429342990859414,0.9159157261861903,0.8705644947709854,0.9742561394909657,0.9741244120437744,-0.0001317274471912544,0.9011816692212022,0.8664857264765216
resnet50,2048,0.9652943177951684,1000,138,0.862,0.9568294324079503,0.9569148320152692,8.539960731890339e-05,0.910232444040252,0.8396701487860911,0.9718927770745055,0.9723570046966575,0.00046422762215203583,0.8481871787988474,0.7697432492505261
