model_name,fedvim_near_auroc,pooled_vim_near_auroc,delta_vim_near,fedvim_far_auroc,pooled_vim_far_auroc,delta_vim_far,act_near_auroc,pooled_act_near_auroc,delta_act_near,act_far_auroc,pooled_act_far_auroc,delta_act_far
mobilenetv3_large,0.9657324256361317,0.9657324256361317,0.0,0.9694753431731249,0.9694753731406947,2.996756975903736e-08,0.9617968616037081,0.9617970860442003,2.2444049219139117e-07,0.969711777308832,0.9697118072764016,2.996756964801506e-08
resnet50,0.9600332082152402,0.9600318615722865,-1.3466429537034585e-06,0.9585406464831888,0.9585405166237201,-1.2985946873378396e-07,0.9643572787398295,0.9643579520613064,6.733214769072404e-07,0.959054630260225,0.9590547101737441,7.991351913538836e-08
resnet101,0.9700867956271809,0.9700865711866886,-2.2444049230241347e-07,0.9627263368128278,0.9627252779586987,-1.0588541291545184e-06,0.9718888283398316,0.9718888283398318,2.220446049250313e-16,0.9644494321135554,0.964449751767632,3.196540766525757e-07
densenet169,0.7680607264151198,0.7730327566409697,0.0049720302258499105,0.833877464485483,0.8313545946847241,-0.002522869800758998,0.9630149001554025,0.9630151245958949,2.2444049241343578e-07,0.9717073377532301,0.9717074376451291,9.98918989747466e-08
efficientnet_v2_s,0.9618576849771207,0.9618574605366284,-2.2444049230241347e-07,0.9691509242527921,0.9691509542203618,2.996756964801506e-08,0.9572369041217149,0.957236904121715,1.1102230246251565e-16,0.9650226817542591,0.9650226717650693,-9.989189808656818e-09
