model_name,feature_dim,id_accuracy,fedvim_fixed_k,act_k,act_compression_rate,fedvim_near_auroc,act_near_auroc,act_minus_fedvim_near,msp_near_auroc,energy_near_auroc,fedvim_far_auroc,act_far_auroc,act_minus_fedvim_far,msp_far_auroc,energy_far_auroc
densenet169,1664,0.9397754338210276,1000,77,0.923,0.8486137657433784,0.9630151245958948,0.11440135885251634,0.8326780419093242,0.7229113792227356,0.8597724314701117,0.9717074376451291,0.11193500617501739,0.7938637065740197,0.7121620524700579
efficientnet_v2_s,1280,0.9632528070772371,512,61,0.880859375,0.961803594818477,0.957236904121715,-0.004566690696761966,0.8763839000755018,0.8432388648338557,0.9690893109294982,0.9650226717650692,-0.0040666391644290645,0.8648078921952241,0.8283515145579756
mobilenetv3_large,960,0.9564477713507996,512,94,0.81640625,0.9657322011956393,0.9617968616037081,-0.003935339591931153,0.9049218453317723,0.8385981087746358,0.9694763920380641,0.9697118172655915,0.00023542522752739714,0.8877354504502317,0.8383340316775991
resnet101,2048,0.9588295338550528,1000,138,0.862,0.9700582916846592,0.9718883794588471,0.0018300877741879162,0.8214201068157192,0.7712008733428437,0.9627405414408634,0.9644493122432765,0.001708770802413051,0.7969107591147013,0.7612165866342762
resnet50,2048,0.9598502892140184,1000,145,0.855,0.9600226595121023,0.9643572787398296,0.0043346192277272655,0.8730822682135704,0.8135764727111783,0.9585424245589906,0.9590546702169847,0.0005122456579940149,0.7831718371013257,0.7208412300376779
